Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
11,11,laisser,let
12,12,car,because
13,13,mettre,to put
14,14,aucun,no
15,15,laisse,leash
16,16,eux,them
17,17,ville,city
18,18,chaque,each
19,19,parlé,speak
20,20,arrivé,come
21,21,devrait,should
22,22,bébé,baby
23,23,longtemps,long time
24,24,heures,hours
25,25,vont,will
26,26,pendant,while
27,27,revoir,meet again
28,28,aucune,any
29,29,place,square
30,30,parle,speak
31,31,compris,understood
32,32,savais,knew
33,33,voici,here is
34,34,pourrais,could
35,35,affaire,case
36,36,donner,give
38,38,leurs,their
39,39,donné,given
40,40,train,train
41,41,corps,body
42,42,endroit,place
43,43,yeux,eyes
44,44,façon,way
45,45,écoute,listen
46,46,dont,whose
47,47,trouve,find
48,48,premier,first
49,49,perdu,lost
50,50,main,hand
51,51,première,first
52,52,côté,side
53,53,pouvoir,power
54,54,vieux,old
55,55,sois,be
56,56,tiens,here
58,58,tellement,so much
59,59,enfant,child
60,61,venu,came
61,62,suite,after
62,63,pardon,sorry
63,64,venez,come
64,65,devant,in front of
65,66,vers,towards
66,67,minutes,minutes
67,68,demandé,request
68,69,chambre,bedroom
69,70,mis,placed
70,71,belle,beautiful
71,72,droit,law
72,73,aimerais,would like to
73,74,aujourd'hui,today
74,75,mari,husband
75,76,cause,cause
76,77,enfin,finally
77,78,espère,hope
78,79,eau,water
79,80,attendez,Wait
80,81,parti,left
81,82,nouvelle,new
82,83,boulot,job
83,84,arrêter,Stop
84,85,dirait,would say
85,86,terre,Earth
86,87,compte,account
87,88,donne,given
88,89,loin,far
89,90,fin,end
90,91,croire,believe
91,92,chérie,sweetheart
92,93,gros,large
93,95,aura,will have
94,96,filles,girls
95,97,jouer,to play
96,98,bureau,office
